CustomerID,Recency,Frequency,Monetary,CustomerSegment
12346.0,325,2,0.0,At-Risk/Churning Customers
12347.0,1,7,4310.0,High-Value/Frequent Spenders
12348.0,74,4,1797.24,Promising/Regular Customers
12349.0,18,1,1757.55,New/Low-Value Customers
12350.0,309,1,334.40000000000003,At-Risk/Churning Customers
12352.0,35,11,1545.41,Promising/Regular Customers
12353.0,203,1,89.0,At-Risk/Churning Customers
12354.0,231,1,1079.4,At-Risk/Churning Customers
12355.0,213,1,459.40000000000003,At-Risk/Churning Customers
12356.0,22,3,2811.43,Promising/Regular Customers
12357.0,32,1,6207.67,New/Low-Value Customers
12358.0,1,2,1168.06,Promising/Regular Customers
12359.0,7,6,6182.9800000000005,High-Value/Frequent Spenders
12360.0,51,3,2662.06,Promising/Regular Customers
12361.0,286,1,189.9,At-Risk/Churning Customers
12362.0,2,13,5154.58,High-Value/Frequent Spenders
12363.0,109,2,552.0,New/Low-Value Customers
12364.0,7,4,1313.1,Promising/Regular Customers
12365.0,290,3,320.69,At-Risk/Churning Customers
12367.0,3,1,168.9,New/Low-Value Customers
12370.0,50,4,3541.94,Promising/Regular Customers
12371.0,44,2,1887.96,Promising/Regular Customers
12372.0,71,3,1298.04,Promising/Regular Customers
12373.0,310,1,364.6,At-Risk/Churning Customers
12374.0,24,1,742.9300000000001,New/Low-Value Customers
12375.0,2,3,455.42,Promising/Regular Customers
12377.0,314,2,1628.1200000000001,At-Risk/Churning Customers
12378.0,129,1,4008.62,New/Low-Value Customers
12379.0,81,3,850.29,Promising/Regular Customers
12380.0,21,5,2720.56,High-Value/Frequent Spenders
12381.0,4,6,1803.96,High-Value/Frequent Spenders
12383.0,184,6,1839.31,At-Risk/Churning Customers
12384.0,28,3,566.16,Promising/Regular Customers
12386.0,337,2,401.9,At-Risk/Churning Customers
12388.0,15,6,2780.6600000000003,High-Value/Frequent Spenders
12390.0,79,1,549.84,New/Low-Value Customers
12391.0,21,1,439.66,New/Low-Value Customers
12393.0,71,4,1582.6000000000001,Promising/Regular Customers
12394.0,63,2,1272.48,Promising/Regular Customers
12395.0,15,15,2998.28,High-Value/Frequent Spenders
12397.0,35,2,2409.9,Promising/Regular Customers
12398.0,45,1,1635.6599999999999,New/Low-Value Customers
12399.0,118,4,1108.65,New/Low-Value Customers
12401.0,302,1,84.3,At-Risk/Churning Customers
12402.0,322,1,225.60000000000002,At-Risk/Churning Customers
12403.0,49,2,409.7,Promising/Regular Customers
12405.0,148,1,1710.39,New/Low-Value Customers
12406.0,21,3,3280.75,Promising/Regular Customers
12407.0,49,5,1708.12,Promising/Regular Customers
12408.0,32,9,2842.57,Promising/Regular Customers
12409.0,78,7,11056.93,Promising/Regular Customers
12410.0,300,3,681.08,At-Risk/Churning Customers
12412.0,74,3,1226.88,Promising/Regular Customers
12413.0,66,5,694.15,Promising/Regular Customers
12414.0,216,3,562.4100000000001,At-Risk/Churning Customers
12415.0,23,26,123725.45,High-Value/Frequent Spenders
12417.0,2,12,3578.8,High-Value/Frequent Spenders
12418.0,112,1,668.58,New/Low-Value Customers
12420.0,63,1,600.39,New/Low-Value Customers
